Site,Plot,TreeRep,Alive,DBH
SG1,1,,,
SG1,2,1,1,37.5
SG1,3,1,1,24.5
SG1,4,,,
SG1,5,,,
SG1,6,,,
SG1,7,,,
SG1,8,,,
SG1,9,,,
SG1,10,,,
SG1,11,,,
SG1,12,,,
SG1,13,,,
SG1,14,1,1,39
SG1,15,,,
SG1,16,,,
SG1,17,,,
SG1,18,,,
SG1,19,,,
SG1,20,,,
SG1,21,,,
SG1,22,,,
SG1,23,,,
SG1,24,,,
SG1,25,,,
SG2,1,,,
SG2,2,,,
SG2,3,,,
SG2,4,,,
SG2,5,1,1,43
SG2,6,,,
SG2,7,,,
SG2,8,,,
SG2,9,,,
SG2,10,,,
SG2,11,,,
SG2,12,,,
SG2,13,,,
SG2,14,,,
SG2,15,,,
SG2,16,,,
SG2,17,,,
SG2,18,1,1,45.5
SG2,19,1,1,37
SG2,20,,,
SG2,21,,,
SG2,22,,,
SG2,23,,,
SG2,24,,,
SG2,25,1,1,42
SG3,1,,,
SG3,2,,,
SG3,3,,,
SG3,4,,,
SG3,5,,,
SG3,6,,,
SG3,7,,,
SG3,8,,,
SG3,9,,,
SG3,10,,,
SG3,11,,,
SG3,12,,,
SG3,13,,,
SG3,14,,,
SG3,15,1,1,34
SG3,16,1,1,37.5
SG3,17,,,
SG3,18,,,
SG3,19,,,
SG3,20,,,
SG3,21,,,
SG3,22,,,
SG3,23,,,
SG3,24,,,
SG3,25,,,
CFP1,1,,,
CFP1,2,1,1,31.5
CFP1,3,,,
CFP1,4,1,1,41
CFP1,5,,,
CFP1,6,,,
CFP1,7,,,
CFP1,8,1,1,30
CFP1,9,,,
CFP1,10,1,1,33
CFP1,11,,,
CFP1,12,,,
CFP1,13,1,1,33
CFP1,14,,,
CFP1,15,,,
CFP1,16,1,1,37
CFP1,17,,,
CFP1,18,,,
CFP1,19,,,
CFP1,20,,,
CFP1,21,1,1,37.5
CFP1,22,,,
CFP1,23,,,
CFP1,24,1,1,39
CFP1,25,,,
CFP2,1,1,1,20.5
CFP2,2,1,1,11.5
CFP2,3,,,
CFP2,4,1,1,17.5
CFP2,5,,,
CFP2,6,,,
CFP2,7,,,
CFP2,8,1,1,15.5
CFP2,9,1,1,14
CFP2,9,2,1,14
CFP2,10,,,
CFP2,11,,,
CFP2,12,,,
CFP2,13,1,1,14
CFP2,14,,,
CFP2,15,,,
CFP2,16,,,
CFP2,17,1,1,18
CFP2,18,,,
CFP2,19,1,1,15
CFP2,20,,,
CFP2,21,,,
CFP2,22,,,
CFP2,23,,,
CFP2,24,,,
CFP2,25,,,
CFP3,1,,,
CFP3,2,,,
CFP3,3,1,1,29
CFP3,4,,,
CFP3,5,1,1,35
CFP3,6,,,
CFP3,7,,,
CFP3,8,,,
CFP3,9,1,1,26
CFP3,10,,,
CFP3,11,1,1,32.5
CFP3,12,1,1,32.5
CFP3,13,,,
CFP3,14,1,1,28
CFP3,15,1,1,30
CFP3,16,,,
CFP3,17,,,
CFP3,18,1,1,32.5
CFP3,19,,,
CFP3,20,,,
CFP3,21,1,1,31
CFP3,22,1,1,27
CFP3,23,,,
CFP3,24,,,
CFP3,25,1,1,32
CACR1,1,,,
CACR1,2,,,
CACR1,3,,,
CACR1,4,,,
CACR1,5,,,
CACR1,6,1,1,49.5
CACR1,7,,,
CACR1,8,,,
CACR1,9,1,1,15
CACR1,10,1,1,44.5
CACR1,11,,,
CACR1,12,,,
CACR1,13,1,1,36
CACR1,14,,,
CACR1,15,1,1,24
CACR1,15,2,1,31
CACR1,16,,,
CACR1,17,,,
CACR1,18,,,
CACR1,19,,,
CACR1,20,,,
CACR1,21,1,1,46.5
CACR1,22,1,1,34
CACR1,23,,,
CACR1,24,1,1,52.5
CACR1,25,,,
CACR2,1,,,
CACR2,2,,,
CACR2,3,1,1,42
CACR2,4,1,1,34
CACR2,5,,,
CACR2,6,,,
CACR2,7,,,
CACR2,8,,,
CACR2,9,,,
CACR2,10,,,
CACR2,11,,,
CACR2,12,,,
CACR2,13,1,1,49
CACR2,14,,1,
CACR2,15,1,1,33
CACR2,15,2,1,46.5
CACR2,16,,,
CACR2,17,,,
CACR2,18,1,1,32
CACR2,19,,,
CACR2,20,,,
CACR2,21,,,
CACR2,22,1,1,34.5
CACR2,23,,,
CACR2,24,,,
CACR2,25,,,
CACR3,1,,,
CACR3,2,,,
CACR3,3,1,1,31.5
CACR3,4,,,
CACR3,5,,,
CACR3,6,1,1,39
CACR3,7,1,1,15
CACR3,8,,,
CACR3,9,,,
CACR3,10,1,1,42
CACR3,11,,,
CACR3,12,,,
CACR3,13,1,1,44
CACR3,14,,,
CACR3,15,1,1,28
CACR3,16,,,
CACR3,17,,,
CACR3,18,,,
CACR3,19,1,1,45.5
CACR3,20,1,1,20
CACR3,21,,,
CACR3,22,,,
CACR3,23,,,
CACR3,24,,,
CACR3,25,1,1,45
WEWO,1,1,1,21
WEWO,2,1,1,35
WEWO,3,,,
WEWO,4,,,
WEWO,5,,,
WEWO,6,,,
WEWO,7,,,
WEWO,8,,,
WEWO,9,1,1,36.5
WEWO,10,1,1,27.5
WEWO,10,2,1,30.5
WEWO,10,3,1,28.5
WEWO,11,,,
WEWO,12,1,1,40.5
WEWO,13,1,1,13
WEWO,13,2,1,31
WEWO,13,3,1,35
WEWO,14,,,
WEWO,15,,,
WEWO,16,1,1,30
WEWO,16,2,0,13
WEWO,17,1,1,35.5
WEWO,17,2,0,30.5
WEWO,18,1,0,13.5
WEWO,18,2,0,34.5
WEWO,19,1,0,22.5
WEWO,20,,,
WEWO,21,,,
WEWO,22,,,
WEWO,23,1,0,20.5
WEWO,23,2,0,22
WEWO,24,1,1,21.5
WEWO,24,2,1,38
WEWO,25,,,
BLSF1,1,,,
BLSF1,2,1,1,37
BLSF1,3,,,
BLSF1,4,,,
BLSF1,5,,,
BLSF1,6,,,
BLSF1,7,1,1,43
BLSF1,8,,,
BLSF1,9,,,
BLSF1,10,,,
BLSF1,11,,,
BLSF1,12,1,1,42
BLSF1,13,,,
BLSF1,14,,,
BLSF1,15,,,
BLSF1,16,,,
BLSF1,17,1,1,36
BLSF1,18,,,
BLSF1,19,1,1,36
BLSF1,20,,,
BLSF1,21,,,
BLSF1,22,,,
BLSF1,23,,,
BLSF1,24,,,
BLSF1,25,,,
BLSF2,1,1,1,32
BLSF2,2,,,
BLSF2,3,,,
BLSF2,4,1,1,30.5
BLSF2,5,,,
BLSF2,6,,,
BLSF2,7,,,
BLSF2,8,1,1,37.5
BLSF2,9,,,
BLSF2,10,,,
BLSF2,11,,,
BLSF2,12,1,1,34
BLSF2,13,1,1,31
BLSF2,14,1,1,27
BLSF2,15,,,
BLSF2,16,,,
BLSF2,17,,,
BLSF2,18,,,
BLSF2,19,,,
BLSF2,20,,,
BLSF2,21,,,
BLSF2,22,,,
BLSF2,23,1,1,33
BLSF2,24,,,
BLSF2,25,1,1,33.5
CNF1,1,,,
CNF1,2,,,
CNF1,3,,,
CNF1,4,,,
CNF1,5,,,
CNF1,6,,,
CNF1,7,,,
CNF1,8,,,
CNF1,9,,,
CNF1,10,,,
CNF1,11,,,
CNF1,12,,,
CNF1,13,,,
CNF1,14,,,
CNF1,15,,,
CNF1,16,,,
CNF1,17,1,1,30
CNF1,18,1,1,47.5
CNF1,19,,,
CNF1,20,,,
CNF1,21,1,1,17
CNF1,22,,,
CNF1,23,,,
CNF1,1,,1,38.5
CNF1,25,,,
CNF2,1,1,1,24
CNF2,2,1,1,24.5
CNF2,2,2,1,13.5
CNF2,3,1,1,22.5
CNF2,4,,,
CNF2,5,,,
CNF2,6,1,1,20
CNF2,6,2,1,18
CNF2,6,3,1,24.5
CNF2,7,,,
CNF2,8,,,
CNF2,9,,,
CNF2,10,1,1,27.5
CNF2,11,1,1,16.5
CNF2,12,1,1,22.5
CNF2,13,1,1,20.5
CNF2,14,,,
CNF2,15,,,
CNF2,16,,,
CNF2,17,,,
CNF2,18,1,1,20.5
CNF2,18,2,1,11.5
CNF2,19,1,1,18
CNF2,20,1,1,27
CNF2,21,1,1,14.5
CNF2,21,2,1,19
CNF2,21,3,1,28.5
CNF2,22,1,1,14.5
CNF2,23,,,
CNF2,24,,,
CNF2,25,,,
CNF3,1,,,
CNF3,2,1,1,33
CNF3,3,1,1,38
CNF3,4,,,
CNF3,5,,,
CNF3,6,,,
CNF3,7,,,
CNF3,8,,,
CNF3,9,1,1,38
CNF3,10,1,1,44.5
CNF3,11,1,1,41.5
CNF3,12,,,
CNF3,13,,,
CNF3,14,1,1,42.5
CNF3,14,2,1,41
CNF3,15,,,
CNF3,16,,,
CNF3,17,,,
CNF3,18,,,
CNF3,19,,,
CNF3,20,1,1,34
CNF3,21,,,
CNF3,22,,,
CNF3,23,,,
CNF3,24,1,1,28.5
CNF3,25,,,
HSG1,1,,,
HSG1,2,1,1,34
HSG1,3,1,1,36
HSG1,4,,,
HSG1,5,1,1,22
HSG1,6,,,
HSG1,7,1,1,24.5
HSG1,8,,,
HSG1,9,,,
HSG1,10,1,1,27
HSG1,10,2,1,17.5
HSG1,11,,,
HSG1,12,1,1,17.5
HSG1,13,,,
HSG1,14,1,1,27
HSG1,14,2,1,28
HSG1,15,1,1,21
HSG1,16,1,1,23
HSG1,17,,,
HSG1,18,,,
HSG1,19,,,
HSG1,20,,,
HSG1,21,1,1,26
HSG1,22,,,
HSG1,23,,,
HSG1,24,,,
HSG1,25,1,1,37
HSG2,1,,,
HSG2,2,,,
HSG2,3,,,
HSG2,4,,,
HSG2,5,1,1,25
HSG2,6,,,
HSG2,7,,,
HSG2,8,,,
HSG2,9,,,
HSG2,10,,,
HSG2,11,,,
HSG2,12,,,
HSG2,13,,,
HSG2,14,1,1,25
HSG2,15,,,
HSG2,16,1,1,32
HSG2,17,1,1,27
HSG2,18,,,
HSG2,19,1,1,31
HSG2,20,,,
HSG2,21,,,
HSG2,22,,,
HSG2,23,,,
HSG2,24,1,1,25
HSG2,25,1,1,15
